bid_notice_id,estimated_price,base_price,num_bidders,estimated_cost,Minimum Bid Amount Rate (MBAR),bid_rigging_label,Bid_Price_(1st_rank_Bidder),BAR_(1st_rank_Bidder),Firm_id_(1st_rank_Bidder),Bid_Price_(Competing_Bidder),BAR_(Competing_Bidder),Firm_id_(Competing_Bidder)
20060104948,26179400.0,26400000.0,4.0,24000000.0,87.745,1.0,24288000.0,4.2549999999999955,5158112860.0,24340000.0,4.451969696969698,5048162244.0
20060104957,14349125.0,14300000.0,4.0,13000000.0,87.745,1.0,12870000.0,2.2549999999999955,5158126646.0,13084000.0,3.751503496503503,5158112860.0
20060104964,8645225.0,8690000.0,4.0,7900000.0,87.745,1.0,8123000.0,5.730258918296883,5158112860.0,8150000.0,6.040960874568469,5158126646.0
20060104983,16580125.0,16610000.0,4.0,15100000.0,87.745,1.0,14949000.0,2.2549999999999955,5158126646.0,15115000.0,3.254397953040339,5158112860.0
20060105604,22821275.0,23000000.0,4.0,20909090.0,87.745,1.0,20930000.0,3.2549999999999955,5158112860.0,21160000.0,4.2549999999999955,5158126646.0
20060105586,24090500.0,24040000.0,4.0,21854545.0,87.745,1.0,21876000.0,3.2533361064891864,5048162244.0,22357000.0,5.254168053244598,5158126646.0
20060108168,27372650.0,27400000.0,2.0,24909090.0,87.745,1.0,25240000.0,4.371788321167884,5058114973.0,26063000.0,7.3754379562043795,5128111222.0
20060109826,31944375.0,31900000.0,2.0,28999999.0,87.745,1.0,29747000.0,5.505783699059549,5058114973.0,30557000.0,8.04496865203761,5128111222.0
20060109853,32046250.0,31600000.0,2.0,28727272.0,87.745,1.0,28980000.0,3.96386075949367,5058114973.0,29929000.0,6.96702531645569,5128111222.0
20060108181,27959525.0,28000000.0,2.0,25454545.0,87.745,1.0,25830000.0,4.5049999999999955,5128111222.0,26880000.0,8.254999999999995,5058114973.0
20060109784,33026350.0,32800000.0,2.0,29818181.0,87.745,1.0,30019000.0,3.7763414634146244,5128111222.0,31855000.0,9.373902439024391,5058114973.0
20060109843,32266375.0,31800000.0,2.0,28909090.0,87.745,1.0,29422000.0,4.77701257861635,5128111222.0,30283000.0,7.484559748427671,5058114973.0
20050602177,17217375.0,17490000.0,2.0,15899999.0,87.745,1.0,16965000.0,9.253284734133786,5050365829.0,14886000.0,-2.633507718696407,5028171219.0
20050602170,28862950.0,29100000.0,2.0,26454545.0,87.745,1.0,28518000.0,10.254999999999995,5050365829.0,24767000.0,-2.6350343642611733,5028171219.0
20050606071,10810475.0,10817000.0,2.0,9833636.0,87.745,1.0,10027000.0,4.951681150041594,5050365829.0,9206000.0,-2.6382236294721366,5028171219.0
20050601669,46093825.0,45714000.0,2.0,41558181.0,87.745,1.0,42100000.0,4.349325589534928,5028171219.0,38399760.0,-3.7450000000000045,5050365829.0
20150111338,50277750.0,49691000.0,2.0,45173636.0,88.0,1.0,48200000.0,8.99945664204786,2208122306.0,48697000.0,9.999637761365236,1138668687.0
20150114964,24941300.0,25079000.0,2.0,22799090.0,87.745,1.0,24326000.0,9.25248793811555,2208122306.0,24570000.0,10.225413493360975,1138668687.0
20150116709,47697625.0,46964000.0,2.0,42694545.0,87.745,1.0,45550000.0,9.244183204156371,2208122306.0,46000000.0,10.20236393833575,1138668687.0
20160301547,27428200.0,27625000.0,2.0,25113636.0,87.745,1.0,26500000.0,8.182601809954747,2208122306.0,26790000.0,9.232375565610852,1138668687.0
20160308870,40405425.0,39979000.0,2.0,36344545.0,87.745,1.0,38370000.0,8.230387078216069,2208122306.0,38779000.0,9.253424172690657,1138668687.0
20160340643,46495875.0,46603000.0,2.0,42366363.0,87.745,1.0,44730000.0,8.235945432697463,2208122306.0,45204000.0,9.253047336008407,1138668687.0
20160418147,43209750.0,42874000.0,2.0,38976363.0,87.745,1.0,40730000.0,7.254300275225063,2208122306.0,41580000.0,9.236853804170352,1138668687.0
20170215959,47088475.0,46971000.0,2.0,42700909.0,87.745,1.0,45560000.0,9.25101882012305,2208122306.0,46030000.0,10.251636222349958,1138668687.0
20170215728,39623300.0,39984000.0,4.0,36349090.0,88.0,1.0,38780000.0,8.988795518207283,2208122306.0,39180000.0,9.989195678271315,1138668687.0
20170220694,48027300.0,47477000.0,2.0,45454545.0,87.745,1.0,46050000.0,9.249334098616174,2208122306.0,46520000.0,10.23928712850433,1138668687.0
20170223158,28015700.0,27824000.0,2.0,25294545.0,87.745,1.0,26980000.0,9.22164749856239,2208122306.0,27260000.0,10.227972972972964,1138668687.0
20090120228,982131500.0,980000000.0,7.0,890909090.0,82.995,1.0,840990000.0,2.8203061224489687,1288122335.0,841250000.0,2.8468367346938663,1078174705.0
20090120252,788708025.0,792753000.0,6.0,720684545.0,82.995,1.0,668633000.0,1.3481686792733711,2148101868.0,669520000.0,1.4600572498621887,1288122335.0
20090120375,313610900.0,314755000.0,6.0,286140909.0,82.995,1.0,262560000.0,0.42226104430429245,2148101868.0,265650000.0,1.403976982097177,1288122335.0
20090237828,725908875.0,728000000.0,5.0,661818181.0,82.995,1.0,620907000.0,2.294423076923067,1078669793.0,626195800.0,3.020906593406579,3018140355.0
20090237860,526913650.0,524685000.0,5.0,476986363.0,82.995,1.0,445668880.0,1.9452746409750574,1078669793.0,427188000.0,-1.5770063466651436,1078174705.0
20090307114,1311286375.0,1308000000.0,3.0,1189090909.0,82.995,1.0,1112980000.0,2.0952140672782917,1108110726.0,1113162000.0,2.1091284403669732,1078174705.0
20090307133,1298024000.0,1300000000.0,3.0,1181818181.0,82.995,1.0,1107000000.0,2.158846153846156,2018146253.0,1110216218.0,2.4062475384615283,1108110726.0
20090307172,711439150.0,708000000.0,3.0,643636363.0,82.995,1.0,600000000.0,1.7507627118643967,1078174705.0,576733915.0,-1.5354074858757087,2018146253.0
20090306967,2063921950.0,2058000000.0,5.0,1870909090.0,82.995,1.0,1754757000.0,2.2701603498542227,2018146253.0,1756000000.0,2.3305587949465547,1108110726.0
